City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Banting,MY,82.53,broken clouds,2.8167,101.5,Hotel Intan Jugra
471,Morant Bay,JM,87.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
472,Maldonado,UY,79.23,clear sky,-34.6667,-54.9167,La Cimarrona
473,Sinaloa,MX,92.39,clear sky,25.0,-107.5,
475,Mali,GN,80.24,scattered clouds,12.079,-12.2982,Hotel La Dame de Mali
476,Maragogi,BR,81.79,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
477,Puerto Escondido,MX,87.87,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
480,Angoche,MZ,78.13,few clouds,-16.2325,39.9086,Guest House HESADA
492,Alofi,NU,80.92,moderate rain,-19.0595,-169.9187,Taloa Heights
501,Tual,ID,82.63,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
502,Kirakira,SB,79.77,overcast clouds,-10.4544,161.9205,SanBiz Lodge
504,Jacareacanga,BR,81.48,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
505,Uberaba,BR,80.87,overcast clouds,-19.7483,-47.9319,Tamareiras Park Hotel
511,Sheridan,US,75.45,clear sky,44.8333,-106.9173,Comfort Inn & Suites
521,Paredon,MX,88.25,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
527,Kahului,US,78.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
530,Ibatiba,BR,78.3,overcast clouds,-20.2339,-41.5106,Hotel Nacional Ibatiba
533,Sai Buri,TH,79.27,clear sky,6.7013,101.6168,ร้าน​ เวดดิ้ง
535,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
538,Bar Bigha,IN,77.09,clear sky,25.2167,85.7333,Raj Complex Maur
541,Bubaque,GW,76.75,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
542,Canto Do Buriti,BR,79.07,overcast clouds,-8.11,-42.9444,Novo Hotel
544,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
547,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
549,Arlit,NE,83.93,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
555,Balikpapan,ID,75.83,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
557,Teresina,BR,80.31,broken clouds,-5.0892,-42.8019,Metropolitan Hotel‎
566,Banjar,ID,77.58,broken clouds,-8.19,114.9675,The Hamsa Resort
567,Tabou,CI,81.41,overcast clouds,4.423,-7.3528,hotêl doufoulougou
569,Adre,TD,75.96,few clouds,13.4667,22.2,
570,Viedma,AR,81.34,clear sky,-40.8135,-62.9967,Hotel Cristal
572,Kandrian,PG,77.85,overcast clouds,-6.2167,149.55,Kandrian Station
574,Ouadda,CF,76.98,scattered clouds,8.0777,22.4007,
575,Trairi,BR,75.43,overcast clouds,-3.2778,-39.2689,janelas do mar
576,Banda Aceh,ID,80.15,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
578,Panaba,MX,92.55,clear sky,21.2833,-88.2667,Hotel California
588,Moron,AR,83.01,clear sky,-34.6534,-58.6198,Hotel Morón
591,Touros,BR,83.84,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
595,Bauchi,NG,77.43,clear sky,10.5,10.0,
596,Sao Miguel Do Araguaia,BR,86.41,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
598,Venado Tuerto,AR,80.76,overcast clouds,-33.7456,-61.9688,La Bianca.
599,Gulf Gate Estates,US,81.97,clear sky,27.2517,-82.5147,Best Western Plus Siesta Key Gateway
601,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
610,Tubuala,PA,80.13,overcast clouds,9.5167,-79.0333,Río Nabagana
615,Agua Dulce,MX,76.78,broken clouds,18.1333,-94.1333,Hotel Victoria
618,Santiago De Las Vegas,CU,82.02,scattered clouds,22.97,-82.3869,Bella Vista Miramar
622,Wiwili,NI,92.34,broken clouds,13.6268,-85.8254,Hostal Gladys
623,Finschhafen,PG,79.2,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
625,Malindi,KE,80.56,clear sky,-3.2175,40.1191,African House Resort
626,Kanniyakumari,IN,82.08,clear sky,8.0833,77.5667,Sparsa Kanyakumari
632,Brazzaville,CG,80.58,moderate rain,-4.2658,15.2832,Hotel Muesse
633,Bumba,CD,81.72,overcast clouds,2.1833,22.4667,Père Carlos
634,Dothan,US,81.86,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
638,Saraza,PH,77.94,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
640,Bhadrachalam,IN,83.46,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
646,Labuhan,ID,76.51,overcast clouds,-6.8844,112.2051,DoubleFAG
650,Wad Rawah,SD,84.61,clear sky,15.1603,33.1397,ود الترابي
652,Sabang,ID,82.76,clear sky,5.8933,95.3214,Hotel Citra
653,Lalsot,IN,81.86,clear sky,26.5667,76.3333,Sharma Hotel
654,Tando Muhammad Khan,PK,80.92,clear sky,25.123,68.5358,Rehmat Mobile Shop
655,San Rafael,AR,86.09,clear sky,-34.6177,-68.3301,Hotel San Rafael
657,Gadwal,IN,86.56,clear sky,16.2333,77.8,MS RESIDENCY
659,Villa Carlos Paz,AR,86.05,clear sky,-31.4241,-64.4978,Monte Carlo vcp
660,Nandikotkur,IN,85.42,clear sky,15.8667,78.2667,Shadhi Khana pGidyla rod
661,Acajutla,SV,86.72,broken clouds,13.5928,-89.8275,Laureles
665,Luwuk,ID,76.71,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
668,Santo Antonio Da Platina,BR,80.38,broken clouds,-23.295,-50.0772,Hotel Kanôa Tropical
672,Ricaurte,CO,82.78,overcast clouds,4.2808,-74.7647,GHL Relax Club el Puente
673,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
674,Sassandra,CI,81.25,overcast clouds,4.95,-6.0833,la terrasse
677,Santiago Del Estero,AR,93.22,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
685,Chitrakonda,IN,76.08,clear sky,18.1167,82.0833,Sri venkateswara swamy temple
